year, genre 
1997,Contemporary R&B
1998,Pop music
1998,Music of the Republic of Macedonia
1983,Rock music
1983,Alternative rock
1983,Pop rock
2012,Pop music
1983,New wave music
1983,Rock music
1983,Synthpop
1983,Rave music
1983,Dark wave
1983,Pop rock
1983,Techno
1983,Post-punk
1983,New Romanticism
2001,Folk music
2001,Singer-songwriter
1985,Reggae
1985,World music
1994,Reggae
1994,Soul music
1994,Pop rock
1994,Reggae fusion
1994,Enigmatic_music
1985,Opera
1998,Soft rock
1998,Opera
1998,Classical music
1968,Pop music
1968,Jazz
2010,Pop music
2010,Soul music
2010,Contemporary R&B
2010,Blues
2010,Pop music
2010,Contemporary R&B
1991,Hip hop music
1959,Levenslied
2004,Heavy metal music
2004,Hard rock
1950,Calypso music
1998,Contemporary Christian music
1998,Contemporary worship music
1998,Pop rock
2003,Pop-rock_and_Country-rock
2000,Cumbia
2000,Rock en español
2000,Fandango
1993,Pop music
1993,Rock music
1993,Music of Latin America
1993,Jazz
2005,Pop music
1988,Britpop
1988,Alternative rock
1988,Shoegazing
1985,Synthpop
1985,Electronic music
1985,Dance music
1964,Jazz
2006,Heavy metal music
2006,Hard rock
2006,Glam metal
2006,Metalcore
2004,Synthpop
2004,Alternative rock
2004,Indie pop
2004,Alternative dance
2004,Pop music
2004,Acoustic music
2004,Independent music
1992,Indie folk
1989,Alternative rock
1989,Alternative metal
2007,Contemporary Christian music
1993,Country music
1980,Experimental rock
1980,Jazz
1974,Blues
1974,Jazz
2010,Alternative rock
2010,Pop rock
2010,Acoustic music
1994,Britpop
1994,Alternative rock
1980,Blues
1960,New wave music
1960,Psychedelic rock
1960,Proto-punk
1960,Pop rock
1960,Freakbeat
1966,Pop music
1966,Rock music
1966,Blues rock
1968,Hard rock
1968,Blues rock
1973,Disco
2011,Country music
2010,Pop music
2010,Pop rock
2010,Country pop
2010,Soul
1997,Country music
1998,Folk music
1998,Contemporary Christian music
1998,Folk rock
1990,Blues
1990,Rock music
1990,Southern rock
2005,Progressive rock
2005,Indie rock
2005,Alternative rock
2005,Folk rock
2005,Acoustic music
1966,Power pop
1962,Folk music
1962,Old-time music
1962,American folk music
1962,Folk music of England
1962,Folk music of Ireland
1962,Australian folk music
1962,Music of Southeastern Europe
1962,Scottish folk music
1962,Music of Bulgaria
2010,Folk music
2010,Pop music
2010,Acoustic music
1979,Punk rock
1979,Progressive rock
1979,Pop punk
1979,Punk jazz
1979,Post-punk
1963,Pop rock
1983,New wave music
1983,Industrial rock
1983,Synthpop
1983,Alternative rock
1983,Jazz
1983,Classical music
1986,Progressive rock
1986,Progressive metal
1986,Musical theatre
1998,Hip hop music
1998,K-pop
1998,Dance music
1971,Rhythm and blues
1971,Glam rock
1971,Art rock
1977,Flamenco
1977,Punk rock
1977,Rock and roll
1977,Glam rock
1977,Hard rock
1977,Blues rock
1977,Glam punk
2001,Christian hip hop
2001,Hip hop music
1962,Salsa music
1962,Bolero
1972,New wave music
1980,Alternative rock
1980,Pop music
1980,Dance music
1963,Art rock
1963,Progressive rock
1963,Hard rock
1960,Rock music
1997,Pop music
1997,Soul music
1997,Electronic music
1998,Electronica
1998,Indie rock
1998,Indie pop
2002,Pop music
2002,Rhythm and blues
2002,Soul music
1963,Heavy metal music
1963,Glam rock
1963,Hard rock
1973,Punk rock
1973,Rock and roll
1973,Hard rock
1973,Garage rock
1973,Proto-punk
1955,Folk music
1955,Comedy music
1959,New wave music
1959,Rock music
1959,Reggae
1959,Progressive rock
1959,Jazz fusion
1959,Post-punk
1959,Jazz
1986,Heavy metal music
1986,Progressive rock
1986,Hard rock
1986,Blues rock
1986,Pop rock
2004,Blue-eyed soul
1938,Traditional pop music
1985,Indie rock
1993,Acoustic music
1998,Folk music
1998,Pop music
1998,Art pop
2007,India
2007,Filmi
1995,Pop music
1995,Contemporary R&B
1981,Folk music
1981,Pop music
2002,Chalga
2002,Pop-folk
2002,Balkan_pop
2004,Alternative rock
2014,Pop music
2014,Dance-pop
2014,Pop rock
2011,Pop music
2011,Art pop
1988,Symphonic rock
1988,Hard rock
1988,Alternative rock
1988,Folk rock
1988,Power metal
1988,Symphonic metal
1988,Pop rock
1988,Classic rock
2011,Country music
2004,Folk music
2004,Indian people
2010,Folk music of England
2009,Grime music
2009,Contemporary R&B
2009,Hip hop music
2004,Hip hop music
2004,Latin music (genre)
1982,Rock music
1982,Indie rock
2007,Experimental rock
2000,Pop music
2000,Rhythm and blues
2000,Urban contemporary
2011,Hip hop music
1998,Pop music
1998,Chalga
2009,Folk music
2009,Indie rock
2009,Folk rock
2009,Pop music
2009,Soul music
2000,Pop music
2000,Jazz
1978,Contemporary R&B
1978,Jazz
1978,Dance music
2005,Pop music
2005,Rock music
2005,Alternative country
