year, genre 
2013,Pop music
2013,Soul music
2013,Contemporary R&B
2007,Country music
2007,Rock music
1979,Hard rock
1979,Blues rock
2006,Rock music
1968,Country music
1968,Folk music
1968,Americana (music)
1951,Country music
1951,Traditional pop music
1951,Easy listening
1960,Folk music
1960,Pop music
2008,Indie rock
2008,Alternative rock
1986,Hip hop music
1962,Big beat
2010,Pop music
2012,House music
2012,Pop music
2012,Soul music
2012,Dance-pop
2012,Contemporary R&B
1993,Folk music
1981,Country music
1996,Pop music
1996,Acoustic music
1996,Independent music
2010,Soul music
2010,Dubstep
2010,Alternative dance
2012,Country pop
2008,Contemporary Christian music
2008,Pop rock
1986,Music of the Philippines
1999,Country music
1999,Rock music
1995,Rhythm and blues
1995,Gospel music
2008,Rock music
1996,Alternative hip hop
1990,Rhythm and blues
1990,Soul music
1998,Rock music
1998,Dance-punk
1998,Electro house
1952,Chicago blues
2001,Country music
2001,Pop music
2001,Hip hop music
2001,Electronic dance music
1950,Blues
1998,Hard rock
1998,Garage rock
1998,Alternative rock
1998,Blues rock
1994,Country music
2004,Reggae
2004,Hip hop music
1961,Soul music
1991,Hard rock
1991,Southern rock
1981,Funk
1981,Rock music
1981,Rhythm and blues
1999,Indie rock
1999,Alternative rock
1999,Pop punk
1999,Post-hardcore
1999,Acoustic music
1993,Heavy metal music
1993,Hard rock
1993,Southern rock
1993,Metalcore
1993,Groove metal
2003,Country music
1980,Punk rock
1980,Rock music
1947,Bluegrass music
1987,Punk rock
1987,Reggae
1987,Hardcore punk
1987,Ska punk
2001,Reggae
2001,Ska
2001,Alternative rock
2001,Acoustic music
1993,Blues
1993,Soul music
1993,Contemporary R&B
2007,Alternative rock
1978,Funk
1978,Pop music
1978,Dub music
1978,Contemporary R&B
2009,Blues
2009,Funk
2009,Rock music
2009,Canadian blues
2011,Reggae
2011,Roots reggae
2011,Dub music
1920,Pop music
1920,Rock and roll
1920,Rhythm and blues
1920,Jazz
2006,Indie rock
1989,Hip hop music
1961,Country music
1961,Folk music
1961,Country rock
2004,Country music
1970,Country music
1970,Outlaw country
2003,Pop music
1998,Country music
2009,Soul music
2009,Contemporary R&B
1998,Post-rock
1998,Shoegazing
1998,Slowcore
1998,Experimental rock
2008,Pop music
2008,Soul music
2007,Pop music
2007,Alternative rock
2007,Indie pop
2007,Electronic dance music
2007,Dark Pop
2007,Singer-songwriter
1992,Pop music
1992,Merengue music
2001,Indie rock
2001,Alternative rock
2001,Folk rock
2001,Pop rock
2001,Comedy
1998,Pop music
1998,Rhythm and blues
1998,Soul music
2009,Folk music
2009,Pop music
2002,Pop music
2002,Soul music
2008,Latin pop
2009,Pop music
2009,Rock music
2002,Country music
2000,Folk rock
2000,Alternative country
2000,Independent music
2010,Folk music
2004,Pop music
2004,Contemporary R&B
2011,Country rock
2011,Southern rock
2011,Alternative rock
2011,Folk rock
2011,Blues rock
1995,Post-rock
2001,Pop punk
2001,Pop rock
2001,Electronic rock
2007,Folk music
2009,Gospel music
1999,Pop music
2007,Country music
2000,Country music
2006,Pop music
2006,Soul music
2006,Contemporary R&B
2005,Country music
2005,Pop music
2002,House music
2002,Pop music
2002,Dance music
2001,Rhythm and blues
1992,Gothic rock
1992,Alternative rock
1992,Noise pop
1992,Riot grrrl
2003,Christian rock
2003,Contemporary Christian music
2002,Country music
1951,Rhythm and blues
1951,Louisiana blues
2008,Country music
2008,Pop music
2011,Folk music
2011,Pop music
2011,Acoustic music
2009,Pop music
2009,Soul music
2009,Electronica
2009,Contemporary R&B
2009,Synthpop
2009,Dance-pop
2009,Alternative R&B
2009,Experimental pop
2001,Reggae
2001,Dancehall
2001,Zouk
2001,Soukous
2001,Kuduro
2001,Coupé-Décalé
2001,Hip hop music
2002,Electroclash
1985,Christian music
1960,Flamenco
1960,Rock_andaluz
1991,Pop music
1991,Dance-pop
1991,Hip hop music
2004,Britpop
2004,Indie rock
2004,Electronic rock
1984,Pinoy rock
2013,Alternative rock
2013,Indie pop
2006,Folk music
1994,Country music
1994,Folk music
1994,Pop music
1994,Pop rock
1940,Blues
1940,Jazz
1987,Contemporary R&B
1985,Indie rock
1965,Classical music
2002,Neo soul
2002,Contemporary R&B
2002,Hip hop music
2002,Alternative R&B
2000,Alternative rock
2000,Classical music
2004,Popular music
2003,Power metal
2003,Symphonic metal
2003,Gothic metal
2004,C-pop
1990,Dancehall
2007,Pop music
2007,Rock music
2007,Rhythm and blues
2007,Indie rock
1948,Film score
1948,Indian classical music
1987,Pop music
2002,Folk rock
2002,Vocal jazz
1983,Rock music
1962,Pop music
1962,Rock music
1962,Folk rock
1997,Country music
1997,Pop rock
1996,Country music
1996,Pop music
1996,Country rock
1996,Schlager music
1980,Rhythm and blues
2003,Country music
2003,Folk music
2003,Contemporary Christian music
2003,Folk rock
2003,Roots rock
1999,Pop music
1999,Rock music
1999,Contemporary Christian music
1998,Folk music
1998,Contemporary Christian music
1998,Folk rock
1998,Roots rock
1969,Funk
1969,Pop music
1969,Jazz
1999,Soul music
1999,Neo soul
1999,Contemporary R&B
1999,Hip hop music
1999,Jazz
1999,Spoken word
1999,Quiet storm
1986,Indie rock
1986,Folk rock
2009,Folk music
2009,Rock music
2009,Indie rock
2009,Contemporary Christian music
2009,Alternative rock
2009,Folk rock
2009,Indie pop
2009,Indie folk
1965,Southern rock
1980,Rock music
1980,Power pop
2003,Pop music
2003,Dance music
1982,Alternative rock
1982,Indie pop
1985,Punk rock
1985,Acoustic music
2001,Pop music
2000,Folk music
2000,Indie rock
1960,Psychedelic rock
1960,Rock and roll
1960,Progressive rock
1960,Soft rock
1999,Folk music
1985,Country music
1971,Folk music
1990,Pop music
1990,Rock music
1990,Celtic music
1966,Folk music
1966,Rock music
1966,Folk rock
1966,Soft rock
1978,Country music
1978,Rock music
1969,New wave music
1969,Synthpop
1969,Blue-eyed soul
1969,Pop rock
1954,Country music
1992,Indie rock
1986,Heavy metal music
1986,Progressive metal
1986,Hard rock
1986,Glam metal
1967,Pop music
1967,Soul music
1959,Country music
1995,Indie rock
1995,Experimental music
1960,Rock music
1982,New wave music
1982,Psychedelic rock
1982,Pop music
1982,Alternative rock
1982,Post-punk
1992,Psychedelic rock
1992,Indie rock
1992,Jam band
1997,Hip hop music
1965,Pop music
1965,Rock and roll
1977,Folk music
1977,New wave music
1977,Punk rock
1977,Rock music
1977,Alternative rock
1977,Pop rock
1977,Post-punk
1986,Country music
1986,Bluegrass music
1986,Americana (music)
1960,Progressive rock
1980,Punk rock
1980,Hardcore punk
1980,Skate punk
1980,Melodic hardcore
1953,Pop music
1953,Rock and roll
1963,Folk music
1980,Rock music
1980,Industrial music
1980,Dance music
1993,Country music
1964,Folk music
1960,Psychedelic rock
1960,Progressive rock
1960,Hard rock
1960,Folk rock
1960,Blues rock
1960,Psychedelic rock
1960,Rhythm and blues
1960,Hard rock
1960,Blues rock
1960,Funk rock
1964,Country rock
1964,Folk rock
1964,Soft rock
1964,Latin rock
1964,Jazz
1971,Rock music
1971,Alternative rock
1963,Psychedelic rock
1963,Rock music
1963,Spoken word
1973,Country music
1961,Country music
1990,Country music
1990,Punk rock
1990,Indie rock
1990,Alternative country
1990,Americana (music)
2004,Electronica
2004,Indie pop
2004,Neo-psychedelia
1965,Folk music
2008,Funk
1964,Hard rock
1964,Smooth jazz
1960,Country music
1960,Pop music
1960,American folk music
1948,Blues
1948,Country music
1948,Gospel music
1948,Nashville sound
1948,Western swing
1983,Alternative rock
1964,Blues
1964,American folk music
1978,Garage rock
1978,Alternative rock
1978,Post-punk
1993,Alternative rock
1974,Country music
1974,Pop music
1960,Country music
1960,Folk music
1960,Rock music
1994,Emo
1994,Indie rock
1994,Alternative rock
1956,Country music
1956,Rock and roll
1956,Gospel music
1956,Rockabilly
2002,Pop music
1993,Indie rock
1993,Alternative rock
1993,Alternative country
1993,Post-hardcore
1993,Art punk
1993,Americana (music)
1974,Country music
1974,Pop music
1990,Alternative country
1990,Americana (music)
1986,Grindcore
1986,Hardcore punk
1993,Country music
1993,Christian music
1980,Blues
1980,Country music
1980,Jazz
2001,Latin music (genre)
1985,Indie rock
1963,Blues
1963,Psychedelic rock
1963,Rhythm and blues
1963,Hard rock
1967,Country music
1967,Rock music
1967,Hard rock
1967,Album-oriented rock
2006,Pop music
1977,Pop music
1977,Rock music
1977,Celtic music
1972,Country music
1938,Western swing
1942,Blues
1940,Country music
1940,Rockabilly
1927,Blues
1927,Country music
1927,American folk music
1957,Folk music
1957,Rock and roll
1957,Traditional pop music
1940,Country music
1940,Bluegrass music
1971,New wave music
1971,Rock music
1971,Folk rock
1971,Jazz fusion
1971,Jazz
1964,Electric blues
1964,Blues rock
1964,Texas blues
1964,Twelve-bar blues
1962,Country music
1962,Rock music
1962,Gospel music
1962,Rockabilly
1974,Heavy metal music
1974,Hard rock
1974,Blues rock
1973,Rhythm and blues
1973,Hard rock
1973,Blues rock
1956,Country music
1956,Folk music
1956,Rock music
1956,Country pop
1960,Electric blues
1960,Soul blues
1954,Country music
1954,Cajun music
1950,Rhythm and blues
1950,Alternative rock
1950,Rhythm and blues
1950,Swamp pop
1962,Reggae
1962,Ska
1988,Pop music
1988,Dance-pop
1970,Folk music
1970,Folk music of Ireland
1970,Celtic music
1990,Electric blues
1940,Jazz
1940,Chanson
1960,Blues
1953,Country music
1973,New wave music
1973,Punk rock
1973,Pop rock
1925,Country music
1925,Folk music
1978,Christian rock
1978,Southern rock
1978,Folk rock
1978,Blues rock
1982,Country music
1992,Experimental rock
1992,Acoustic music
1997,Gospel music
1997,Post-bop
1997,Jazz
1997,Neo-bop jazz
1963,Pop music
1963,Rock music
1985,Pop music
1985,Soft rock
1985,Pop rock
1985,Adult contemporary music
2001,Gospel music
2001,Traditional black gospel
1970,Blues
1970,Funk
1970,Rock music
1970,Rhythm and blues
1970,Art rock
1970,Progressive rock
1970,Soul music
1970,Contemporary Christian music
1970,Gospel music
1962,Psychedelic rock
1962,Rhythm and blues
2000,Pop music
2000,Rock music
1966,Country music
1960,Ska
1960,Soul music
2001,Pop music
2001,Pop rock
2011,Pop music
2011,Rock music
1979,Folk music
1979,Country rock
1979,Alternative country
1960,Rhythm and blues
1960,Soul music
1960,Jazz
1951,Australian folk music
1951,Acoustic music
1951,Australian country music
1960,Reggae
1996,Heavy metal music
1996,Punk rock
1996,Hardcore punk
1996,Cowpunk
1979,Folk music
1979,Rock music
1949,Bluegrass music
1945,Rhythm and blues
1945,West Coast blues
1945,Jump blues
2002,Rock music
2002,Alternative rock
1983,Country music
1983,Rock and roll
1983,Pop rock
2012,House music
2012,Pop music
2012,Contemporary R&B
2004,Blues
2004,Pop music
2004,Soul music
2004,Contemporary Christian music
2004,Alternative rock
1948,Rhythm and blues
1948,Swing music
1948,Jump blues
1993,Rock music
1993,Acoustic music
1950,Rhythm and blues
1950,Jazz
1987,Hip hop music
1990,Pop music
1990,World music
1990,Afro pop music
1991,Punk rock
1991,Electronica
1991,Synthpop
1991,Rap rock
1991,Comedy rock
1991,Alternative hip hop
1976,Punk rock
1989,Country music
1989,Folk music
1990,Rock and roll
1940,Blues
2005,Country music
2005,Pop music
2005,Pop rock
1946,Chicago blues
1955,Pop music
1955,Rhythm and blues
1955,Soul music
1997,Heavy metal music
1997,Christian metal
1997,Sludge metal
1997,Metalcore
1997,Post-hardcore
1945,Jazz
1983,New wave music
1983,Pop music
1983,Synthpop
1983,Hi-NRG
1970,Hip hop music
1966,Folk rock
1966,Beat music
1966,Soft rock
1966,Pop rock
1966,Baroque pop
1972,Blues
1950,Rhythm and blues
1950,Soul music
1987,Industrial rock
1987,Alternative rock
1987,Electropunk
1987,Electronic rock
1961,Country music
1961,Rock and roll
1961,Rhythm and blues
1939,Country music
1939,Western (genre)
2003,Country music
1965,Country music
1965,Rock music
1965,Popular music
1951,Blues
1940,Jump blues
2008,Screamo
2008,Metalcore
2008,Post-hardcore
2008,Electronicore
1994,Country music
1997,House music
1997,Oldschool jungle
1997,Acid jazz
1997,Deep house
1997,Electronic music
2003,Kenyan hip hop
2003,Genge
2003,Pop music
2003,Electro (music)
2003,Grime music
2003,Contemporary R&B
1998,Singer-songwriter
1998,Acoustic music
1985,Punk rock
1985,Rock music
1985,Avant-garde
1980,Luk thung
1980,Thai pop music
1980,Mor lam
2005,Pop music
1999,Punk rock
1999,Alternative rock
1999,Pop punk
1999,Skate punk
1999,Alternative metal
1999,Rap rock
1984,Heavy metal music
1984,Hard rock
1984,Glam metal
1973,Hard rock
1973,Pop rock
2002,Grime music
1989,Hip hop music
1967,Country music
1967,Cajun music
2000,Gospel music
1985,Pop music
1985,Jazz
1985,Music of the Philippines
1998,Pop music
1998,Contemporary R&B
2013,Pop music
2013,Dance music
1961,Rhythm and blues
1961,Soul music
1996,Country music
2002,Contemporary R&B
2002,K-pop
1999,Folk music
1999,Alternative rock
1999,Electropop
1999,Indie pop
1999,Pop rock
1999,Jazz
1930,Traditional pop music
1977,Gothic rock
1977,Industrial rock
1977,Neue Deutsche Welle
1977,Neue Deutsche Härte
1995,Nu metal
1995,Pop music
1995,Rock music
1995,Thrash metal
1995,Contemporary R&B
1991,Heavy metal music
1991,Power metal
1995,Pop music
1995,Rock music
1997,Funk
1997,Heavy metal music
1997,Psychedelic rock
1997,Rock and roll
1997,Progressive rock
1997,Progressive metal
1997,Hard rock
1997,Southern rock
1997,Folk rock
1997,Space rock
1997,Jazz fusion
1997,Neoclassical metal
1997,Technical death metal
1997,Stoner rock
1997,Jam band
1997,Album-oriented rock
1977,Punk rock
1977,Industrial music
1977,Hard rock
1972,Blues
1972,Pop music
1972,Rock music
1972,Folk rock
1991,Pop music
1991,Rock music
1991,Jazz
1958,Country music
1958,Folk music
1958,Gospel music
1958,Folk rock
2010,Folk music
2010,Pop music
1975,Punk rock
1975,Rock music
1975,Hard rock
1984,Country music
1965,Nueva canción
1999,Pop music
1999,Electropop
1999,Lo-fi music
1999,Experimental music
1999,Independent music
1960,Country music
1960,Folk music
1960,Music of Ireland
1989,Blues
1989,Folk music
1989,Rock and roll
1989,Country rock
1953,Traditional pop music
1977,Mariachi
1977,Ranchera
1977,Latin ballad
1977,Banda (music)
1982,Bachata (music)
1982,Latin music (genre)
1950,Traditional pop music
1980,Blues
1980,Country music
1980,Pop music
1980,Rock music
1980,Polka
1980,Bluegrass music
1980,Jazz
1980,Children's music
2000,Country music
1960,Popular music
2003,Contemporary Christian music
2003,Contemporary worship music
2003,Pop rock
1980,Blues
1980,Blues rock
2007,Country music
1996,Soul music
1996,Pop rock
1996,Contemporary R&B
2007,Country music
1998,Pop music
1998,Rhythm and blues
1980,Synthpop
2002,Blues rock
1978,Rock music
1978,Latin music (genre)
1978,Trova
1965,Glam rock
1965,Psychedelic pop
1976,Funk
1976,House music
1976,Soul music
1976,Acid jazz
1976,Nu jazz
1976,Contemporary R&B
1976,Dance music
1990,Hi-NRG
1990,Dance-pop
1990,Freestyle music
1990,Electronic dance music
1980,Zouk
1980,Compas
1980,Jazz
1958,Jazz
1958,Chanson
2005,Mandopop
1997,Folk music
1997,Pop music
1997,Rock music
1997,Adult contemporary music
1989,Pop music
1989,Indie rock
1989,Adult contemporary music
2003,Soul music
2003,Neo soul
2003,Contemporary R&B
2003,Hip hop music
2003,Dance music
2011,Blues
2011,Soul music
2011,Alternative rock
2011,Folk rock
2003,Pop music
1990,Punk rock
1973,No wave
1973,Rock music
1973,Surf music
1995,Contemporary Christian music
1960,Country music
1990,Psychedelic rock
1990,Rock and roll
1990,Shoegazing
1990,Power pop
1987,Country music
1987,Pop music
1987,Rock music
1987,Alternative rock
1987,Indie pop
1987,Classic rock
1958,Rock and roll
1958,Rockabilly
2007,Pop music
2007,Rhythm and blues
1954,Blues
1950,Texas blues
1992,Contemporary R&B
1969,Salsa music
1969,Cumbia
1969,Porro
1969,Tropical music
1969,Joeson
1969,Chandé
1989,Country music
1998,Gospel music
1998,Urban contemporary gospel
1958,Rhythm and blues
1993,Hip hop music
1980,Pop music
1989,Blues rock
1973,Country music
1959,Rock and roll
2003,Hip hop music
1989,Black metal
1989,Heavy metal music
1989,Progressive metal
1989,Industrial music
1995,Rap metal
1995,Rap rock
1995,Hip hop music
1964,Blues
1964,Rock music
1964,Rhythm and blues
1961,Blues
1961,Pop music
1961,Rock music
1961,Soul music
1987,Grunge
1987,Alternative rock
1964,Chanson
1964,French pop music
1989,Country music
1961,Punk rock
1961,Rock and roll
1961,Alternative rock
1961,Rockabilly
1961,Blues rock
1961,Roots rock
1961,Experimental rock
1980,Punk rock
1958,Country music
1958,Pop music
1958,Rock music
1958,Soul music
1992,Country music
1992,Country pop
1996,Death metal
1996,Progressive metal
1996,Thrash metal
1996,Groove metal
1975,Heavy metal music
1975,Hard rock
1970,Country rock
1970,Tejano music
1970,Alternative country
1970,Outlaw country
1970,Heartland rock
1970,Progressive country
1970,Texas country music
1970,Americana (music)
1980,Punk rock
1960,Pop music
1960,Rock music
2003,Blues
2003,Rock music
2003,Blues rock
1930,Jazz
1976,Rock music
1976,Heartland rock
1966,Heavy metal music
1966,Doom metal
1997,Pop music
1997,Ambient music
1997,Alternative rock
1997,Experimental music
1986,Jazz
1957,Folk music
1958,Reggae
1958,Rhythm and blues
1958,Ska
1958,Rocksteady
1940,Blues
1991,Gospel music
1991,Hip hop music
2007,Rock music
2007,Electronic music
1970,New wave music
1970,Punk rock
1970,Ska
1970,Jazz fusion
1970,Jazz
1970,Classical music
2004,Pop music
2004,Pop rock
2004,Contemporary R&B
1979,Rock music
1977,Punk rock
1977,Hardcore punk
2002,Alternative rock
2002,Pop rock
1970,Rock music
1980,New wave music
1980,Synthpop
1964,Electric blues
1976,Progressive rock
1976,Hard rock
1976,Neoclassical metal
1976,Pop rock
2007,Pop music
2007,Operatic pop
2011,Gospel music
2011,Urban contemporary gospel
1999,Hardcore punk
1999,Christian rock
1999,Indie rock
1999,Christian metal
1999,Metalcore
1999,Post-grunge
1999,Christian hardcore
1996,Country music
1967,Celtic rock
1967,Celtic music
1996,Gospel music
1996,Traditional black gospel
1996,Urban contemporary gospel
1991,Indie rock
1991,Alternative country
1991,Indie pop
1991,Baroque pop
1969,Pop music
1969,Soul music
1969,Soft rock
1969,Dance-pop
1969,Contemporary R&B
1953,Country music
1953,Rockabilly
1993,Punk rock
1993,Hardcore punk
1993,Melodic hardcore
2007,Folk music
2007,Folk rock
2007,Americana (music)
2007,Acoustic music
1934,Blues
1965,Blues
1965,Jazz
1978,Folk music
1978,Rock music
1978,Ambient music
1978,Electronica
1978,Heavy metal music
1978,Speed metal
1978,Hard rock
1959,Rhythm and blues
1958,Country music
1958,Folk music
1971,Country music
1970,Folk music
1970,Funk
1970,Punk rock
1970,Reggae
1970,Ska
1970,World music
1970,Alternative rock
1970,Rockabilly
2000,Pop music
2000,Rock music
1978,Country music
1955,Disco
1955,Funk
1955,Rock and roll
1955,Rhythm and blues
1955,Soul music
1955,Southern soul
1998,Heavy metal music
1998,Hard rock
1998,Alternative rock
1998,Pop punk
2003,Indie rock
2003,Indie pop
2006,Contemporary Christian music
2006,Contemporary worship music
1969,Rock music
1969,Soft rock
1969,Pop rock
1969,Reggae fusion
1968,Country music
1952,Rhythm and blues
1952,Detroit blues
1952,Electric blues
1940,Memphis blues
1966,Psychedelic rock
1966,Reggae
1966,Group Sounds
2012,Pop music
2012,Soul music
2012,Indie pop
2013,Rhythm and blues
2013,Soul music
2011,Country music
1997,Progressive rock
1997,Jam band
1960,Country music
1980,Country music
1980,Pop music
1990,Gospel music
1990,Schlager music
1990,Children's song
1999,Christian rock
1999,Contemporary worship music
1965,Folk music
1965,Pop music
1965,Rock music
1995,Punk rock
1995,Alternative rock
1995,Pop punk
1995,Pop rock
2003,Hard rock
1998,Heavy metal music
1998,Pop music
1998,Rock music
1998,Electronic dance music
1992,Indie rock
1992,Folk rock
1999,Independent music
1995,Alternative rock
1999,Progressive folk
1999,Independent music
1986,Rock music
2003,Rap rock
2003,Urban contemporary
1999,Australian hip hop
1998,East Coast hip hop
2013,Pop music
1998,Neo-Traditional_Country
1982,Folk music
1982,World music
1982,Neofolk
1982,Kundiman
1982,Acoustic music
2011,Rhythm and blues
2011,Soul music
2011,Hip hop music
2010,Hip hop music
1984,Heavy metal music
1984,Thrash metal
1994,Hip hop music
1993,Punk rock
1993,Garage rock
1993,Alternative rock
1993,Ska punk
1989,Punk rock
1989,Indie rock
1989,Alternative rock
1989,Alternative country
1989,Skate punk
1989,Folk punk
2013,Folk music
2013,Jazz
2013,Independent music
1955,Rock music
1993,Rock music
1993,Progressive rock
1993,Alternative rock
1993,Pop music
1960,Electric blues
1960,Soul blues
1965,Rock and roll
1987,Blues
1987,Folk music
1987,Rock music
1966,Psychedelic rock
1966,Bubblegum pop
1966,Psychedelic pop
1992,Pop music
1992,Rock music
1992,Electronic music
1992,Dance music
1985,Pop music
1985,Swing music
1996,Pop music
1996,Contemporary R&B
1996,Hip hop music
1965,Rock music
2000,Reggaeton
2000,Latin pop
1970,Pop music
1964,Punk rock
1985,Punk rock
1985,Shock rock
1967,Rock music
1967,Garage rock
1967,Power pop
1967,Alternative country
1967,Rockabilly
1967,Jazz fusion
2001,Hip hop music
1979,Heavy metal music
1979,Country rock
1979,Hard rock
1979,Glam metal
1982,Heavy metal music
1982,Progressive metal
1982,Thrash metal
1982,Power metal
1999,Contemporary Christian music
1999,Christian hip hop
1989,Hip hop music
2002,Indie rock
2002,Power pop
1996,Punk rock
1996,Alternative rock
1996,Rockabilly
1977,Punk rock
1977,Rock music
1990,Progressive rock
1990,Progressive metal
1988,Death metal
1988,Melodic death metal
2007,Gothic rock
2007,Synthpop
2007,Dark wave
2007,Alternative rock
1998,Independent music
1970,Electric blues
1990,Traditional pop music
1990,Jazz
1977,Country music
1979,Indie rock
1998,Country music
1979,Ambient music
1979,Noise music
1979,Industrial music
1979,Drone music
1979,Acid house
1979,Electronic music
1984,Blues
1984,Rock music
1984,Southern rock
1979,Country music
1994,Blues
1994,Rhythm and blues
1994,Jazz
0080,Alternative rock
1983,Roots rock
1983,Heartland rock
1981,Hardcore punk
1981,Punk blues
1970,Rock music
1971,Blues
1971,Hard rock
1971,Blues rock
1995,Country music
1982,Heavy metal music
1982,Thrash metal
1982,Alternative metal
1982,Groove metal
1996,Bluegrass music
1996,Alternative rock
1996,Funk rock
1996,Jam band
1996,American folk music
1996,Celtic music
1968,Rock music
1965,Rock music
1965,Art rock
1965,Proto-punk
1965,Drone music
1965,Experimental rock
1965,Classical music
1965,Avant-garde music
1960,Popular music
1985,Country music
"['1999', '2004']",Hip hop music
1970,Country music
1980,Heavy metal music
1980,Thrash metal
1980,Crossover thrash
1988,Heavy metal music
1988,Nu metal
1988,Thrash metal
1988,Hard rock
1988,Power metal
1988,Alternative metal
1989,Christian rock
1989,Hard rock
1989,Christian metal
1989,Alternative metal
1989,Industrial metal
1989,Post-grunge
1988,Heavy metal music
1988,Hard rock
1988,Glam metal
1970,Bluegrass music
2003,Folk music
2003,Americana (music)
1977,New wave music
1977,Punk rock
1977,Shoegazing
1977,Dream pop
1977,Space rock
1995,Post-rock
1995,Instrumental rock
1968,Progressive rock
1968,Hard rock
1999,Heavy metal music
1999,Hard rock
1999,Doom metal
1999,Stoner rock
1991,Folk music
1991,Indie rock
1991,Folk rock
1991,Lo-fi music
1992,Christian rock
1964,Country rock
1950,Piedmont blues
1963,Folk music
1963,Satire
1992,Country music
1992,Rock and roll
1992,Bluegrass music
1992,Americana (music)
1960,Heavy metal music
1960,Psychedelic rock
1960,Progressive rock
1960,Hard rock
1957,Country music
1957,Bluegrass music
1997,Punk rock
1997,Psychedelic rock
1997,Garage rock
1997,Alternative rock
1997,Noise rock
1997,Art punk
1997,Post-punk
1997,Experimental music
1997,Rock music
1989,Alternative country
1989,Roots rock
1989,Americana (music)
1997,Indie rock
1997,Indie pop
1970,Blues
1974,Urban contemporary gospel
2006,Soul music
2006,Pop rock
1961,Funk
1961,Rhythm and blues
1961,Soul music
1961,Electro (music)
1961,Post-disco
1961,Hip hop music
1961,Smooth soul
1961,Jazz
1961,Quiet storm
1988,Electronica
1988,Indie rock
1988,Dance-punk
1988,Alternative dance
1958,Country music
2004,Opera
2002,Country music
2006,Electronica
2006,Noise rock
2006,Funktronica
2006,Hip hop music
2006,Boogie (genre)
2006,Experimental music
1950,Rhythm and blues
1950,Soul music
1992,Pop music
1992,Rock music
1992,Classical music
1975,Folk rock
2005,Indie rock
2005,Post-punk revival
2005,Neo-psychedelia
2005,New rave
1982,Heavy metal music
1982,Speed metal
1982,Thrash metal
1982,Power metal
2001,Alternative rock
1996,Country music
1966,Blues
1966,Country music
1966,Pop music
1966,Rock music
1966,Folk rock
1966,Soft rock
1999,Country music
1966,Progressive rock
1966,Hard rock
2001,Country music
2006,Chiptune
2006,Electronicore
1991,Hardcore punk
1991,Sludge metal
1991,Metalcore
2005,Country music
1994,New-age music
1996,Rock music
1996,Indie rock
1996,Alternative rock
1996,Anti-folk
1999,Pop music
1999,Swing music
1999,Blue-eyed soul
1999,Smooth jazz
1999,Crossover jazz
1999,Vocal jazz
2005,Country music
2005,Pop music
2005,Soul music
2005,Southern rock
2005,Folk rock
2005,Blues rock
2009,Folk music
2009,Contemporary Christian music
2009,Christian hip hop
1993,Alternative rock
1993,Australian rock
1990,Reggae
2011,Folk music
2011,Ambient music
2011,Alternative rock
2011,Jazz
2000,Indie rock
2000,Alternative rock
2000,Alternative hip hop
2000,Acoustic music
2003,Country music
1998,Folk music
1998,Big band
1998,Hardcore punk
1998,Alternative rock
1998,Alternative metal
1998,Metalcore
1998,Post-hardcore
1998,Mathcore
1998,Jazz
2012,Pop music
2012,Country pop
2011,Country music
2011,Folk music
2011,Alternative rock
2011,Blues rock
1986,Country music
2000,Country music
1971,Blues
1971,Rock music
1971,Alternative country
2000,Nu metal
2000,Alternative rock
2000,Alternative metal
2000,Post-hardcore
2007,Pop music
2007,Rhythm and blues
2007,Soul music
2007,Latin music (genre)
2007,Dance music
1987,Pop music
1987,Gospel music
1987,Music of the Philippines
1990,Christian rock
2002,Folk music
2002,Indie rock
2002,Alternative rock
2002,Acoustic music
1993,Hip hop music
1996,Experimental rock
2005,Indie rock
2005,Alternative rock
2005,British hip hop
2005,Alternative hip hop
1997,Country music
1997,Rock music
1997,Blue-eyed soul
1997,Pop rock
2002,Pop music
1992,Rock music
1992,Alternative rock
1992,Adult contemporary music
1984,Country music
2006,Trip hop
2006,Electronica
2006,Neo soul
2006,Downtempo
2006,Contemporary R&B
2006,Dubstep
1997,Nu metal
1997,Alternative metal
2003,Emo
2003,Indie rock
2003,Pop punk
2000,Grime music
2000,UK garage
1950,Funk
1950,Soul music
1950,Northern soul
1946,Playback singer
1989,Death metal
1999,Songwriter
1999,Singing
1991,Funk
1991,Reggae
1991,German hip hop
1960,Country music
1991,Trance music
1997,Black metal
1997,Viking metal
1997,Folk metal
1978,Pop music
1978,Rock and roll
2006,Pop music
1967,Blues
1967,Folk music
1967,Jazz
1967,Soundtrack
1967,Classical music
1982,Rock music
1996,Pop music
1996,Schlager music
1988,Pop music
1988,Rock music
1988,Classical music
1988,Turbo-folk
1988,Pop-folk
2003,World music
2003,Jazz
2008,Pop music
2008,Hard rock
2008,Pop rock
1997,Pop music
1997,Rhythm and blues
1997,Electronic music
1990,Folk music
1990,Pop music
1990,Rock music
1985,Assyrian pop music
1978,Blues
1978,Folk music
1978,Rock music
1978,Outsider music
1978,Experimental music
1997,Pop music
1987,Pop music
1987,Rock music
1987,Contemporary R&B
1987,Freestyle music
1987,Dance music
2000,Pop music
2000,Rock music
2000,Traditional pop music
2000,Jazz
2000,Music of Brazil
1970,Folk music
1970,Pop music
1970,Rock and roll
1970,Cabaret
1970,Vocal music
1969,Progressive rock
1977,Folk music
1977,Vocal music
